round,date,home_team,away_team,home_score,away_score,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_possession,away_possession,home_total_passes,away_total_passes,home_pass_accuracy,away_pass_accuracy,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,source
3,2023-05-15,Internacional,Atlético-MG,3,0,15,12,6,5,9,7,60.37593049671855,39.62406950328145,557,438,70.67227200366565,71.2530640691071,17,12,2,4,0,0,6,4,1,3,Generated
3,2023-05-15,Fluminense,Botafogo,0,2,15,12,5,4,10,8,56.038938686038165,43.961061313961835,483,401,79.18479755193916,71.03913155108536,15,9,2,4,0,1,1,6,3,2,Generated
3,2023-05-15,Juventude,Cruzeiro,3,0,18,10,4,2,14,8,66.24573019063065,33.75426980936935,453,409,78.80646836736697,82.30596050139604,15,13,2,0,0,0,5,7,3,2,Generated
4,2023-05-22,Juventude,Botafogo,1,2,14,14,6,5,8,9,57.04710248301736,42.95289751698264,469,363,87.11474517811573,74.5435911404703,16,13,2,0,0,0,9,6,1,4,Generated
4,2023-05-22,Fortaleza,Fluminense,1,2,20,17,8,6,12,11,58.14743909843183,41.85256090156817,482,384,79.37535930929012,76.0253052152,13,10,0,5,0,0,6,3,5,2,Generated
4,2023-05-22,Bragantino,Criciúma,2,2,12,7,2,2,10,5,49.50668274485058,50.49331725514942,490,406,80.12532118990406,82.68208062752663,6,10,0,1,1,0,4,0,0,1,Generated
4,2023-05-22,Corinthians,EC Vitória,2,0,23,7,7,3,16,4,34.55353573906406,65.44646426093594,470,426,84.04517532063329,89.8563367799814,7,11,4,3,0,0,3,4,2,0,Generated
4,2023-05-22,São Paulo,Cuiabá,2,1,20,15,7,5,13,10,66.09813229143367,33.90186770856633,515,375,78.44068520255279,75.90081415308313,12,4,3,4,0,0,9,5,2,0,Generated
4,2023-05-22,Atlético-PR,Flamengo,1,1,18,14,5,3,13,11,69.52143864622367,30.47856135377633,477,453,70.5507343973893,80.109102358209,21,3,1,0,0,0,6,7,1,4,Generated
4,2023-05-22,Atlético-GO,Cruzeiro,0,0,16,13,3,5,13,8,47.76174996808812,52.23825003191188,488,427,81.38754722364565,82.41320959649168,8,12,5,1,0,0,8,5,5,2,Generated
4,2023-05-22,Vasco da Gama,Internacional,3,2,18,18,5,5,13,13,41.975823534867246,58.024176465132754,471,465,89.14896038076192,70.17726570226938,16,8,5,1,0,0,2,6,3,0,Generated
4,2023-05-22,Bahia,Palmeiras,0,1,23,22,6,9,17,13,49.05747945375167,50.94252054624833,461,471,72.45841356930775,87.77318160530797,12,13,0,2,0,0,5,3,2,1,Generated
4,2023-05-22,Grêmio,Atlético-MG,0,1,12,13,5,4,7,9,44.40935675201712,55.59064324798288,465,468,87.8374428962147,78.6763483915306,18,21,2,2,0,0,8,4,1,2,Generated
5,2023-06-01,Palmeiras,São Paulo,2,3,21,13,9,5,12,8,56.065590419091066,43.934409580908934,577,489,84.26413766565236,73.98430549788107,17,11,0,2,0,0,1,4,1,4,Generated
5,2023-06-01,Criciúma,Fortaleza,2,0,10,16,4,4,6,12,43.92382372673153,56.07617627326847,472,388,89.48388887632714,86.94121653967798,11,10,1,3,1,0,5,5,3,1,Generated
5,2023-06-01,Atlético-GO,Cuiabá,3,0,15,21,5,8,10,13,39.67573176451557,60.32426823548443,480,365,86.13930981767987,79.19329740805323,12,4,1,0,0,1,9,5,7,2,Generated
5,2023-06-01,Bahia,Botafogo,0,2,14,9,2,2,12,7,38.88303482773282,61.11696517226718,468,414,78.57404041972868,70.58339527290529,12,7,3,2,0,1,6,3,1,0,Generated
5,2023-06-01,Fluminense,Flamengo,1,2,16,19,5,6,11,13,44.122015664012096,55.877984335987904,512,512,85.60731006013764,79.52671466602197,12,13,2,0,0,1,7,4,0,1,Generated
5,2023-06-01,Vasco da Gama,Grêmio,0,1,13,9,5,4,8,5,59.17379176351986,40.82620823648014,544,410,86.9685075818105,78.45258394027218,10,14,1,5,0,0,6,5,2,6,Generated
5,2023-06-01,Corinthians,Cruzeiro,1,0,14,15,5,3,9,12,52.48291177610284,47.51708822389716,528,393,85.72411304522116,84.68887864151183,11,16,3,4,0,0,5,6,2,2,Generated
5,2023-06-01,Internacional,EC Vitória,1,0,16,11,4,3,12,8,46.18109542295478,53.81890457704522,515,387,83.70887766443803,76.64912314297425,5,19,2,2,0,0,4,6,1,1,Generated
5,2023-06-01,Bragantino,Juventude,3,0,24,7,7,1,17,6,54.94595113161064,45.05404886838936,489,385,84.13259739757419,82.20014834158971,10,13,1,2,0,0,4,6,2,0,Generated
5,2023-06-01,Atlético-MG,Atlético-PR,3,1,20,9,8,2,12,7,33.655659453271056,66.34434054672894,537,414,74.96752520739601,74.28812965986329,9,5,3,6,0,0,5,8,2,2,Generated
6,2023-06-08,Atlético-GO,Flamengo,1,1,23,19,9,5,14,14,56.20694858097352,43.79305141902648,464,455,73.71293409802486,83.28438769977936,14,10,1,2,0,0,8,8,2,1,Generated
6,2023-06-08,Cruzeiro,Juventude,0,0,18,8,8,2,10,6,30.76515865749148,69.23484134250852,456,384,72.10690968962666,74.44722609496341,12,9,1,2,0,0,6,5,1,2,Generated
6,2023-06-08,São Paulo,Fluminense,2,1,18,14,5,4,13,10,40.1308953409086,59.8691046590914,562,421,79.7018931995908,76.67256791673731,15,17,0,3,0,0,5,6,1,0,Generated
6,2023-06-08,Criciúma,Fortaleza,3,0,17,16,4,6,13,10,32.65853303105089,67.3414669689491,498,418,86.06004143915675,80.3601613280925,8,13,1,7,0,0,4,5,0,4,Generated
6,2023-06-08,Bahia,Palmeiras,2,1,11,12,2,3,9,9,40.585401077014296,59.414598922985704,490,499,73.75444811384504,71.76769893969038,14,11,1,2,0,0,10,7,0,1,Generated
6,2023-06-08,Bragantino,Atlético-MG,2,1,17,17,7,6,10,11,54.984561924581264,45.015438075418736,508,497,84.14794000065855,77.78460943383577,9,10,3,3,0,0,7,4,4,0,Generated
6,2023-06-08,Botafogo,Grêmio,4,1,11,13,2,3,9,10,44.196986435080404,55.803013564919596,432,396,82.13693911080279,87.61946011279315,17,9,2,3,0,0,5,6,1,1,Generated
6,2023-06-08,Atlético-PR,Corinthians,0,3,13,11,5,5,8,6,39.30023968831325,60.69976031168675,451,391,71.25129684438903,74.21013879330685,16,10,1,2,0,0,5,4,3,4,Generated
6,2023-06-08,Vasco da Gama,Internacional,2,2,15,14,6,3,9,11,46.272192038068944,53.727807961931056,469,498,73.92838431744035,89.02889651326184,8,13,2,2,0,0,4,7,3,2,Generated
6,2023-06-08,EC Vitória,Cuiabá,1,3,11,11,2,4,9,7,49.44521940859696,50.55478059140304,518,387,74.76293307331393,88.16869103758751,12,15,2,4,0,0,6,4,0,1,Generated
7,2023-06-15,Bragantino,Corinthians,0,1,11,16,3,4,8,12,60.03078596844223,39.96921403155777,451,384,81.31563109681993,88.58289434423375,11,12,1,0,1,1,8,3,3,0,Generated
7,2023-06-15,Bahia,Palmeiras,3,2,9,17,2,4,7,13,68.72305525802935,31.276944741970652,477,463,83.23827265274024,85.02354273908085,15,17,1,0,0,0,8,4,2,2,Generated
7,2023-06-15,Vasco da Gama,São Paulo,0,2,18,16,5,4,13,12,65.9354586633614,34.0645413366386,474,501,81.537147622654,79.27963396333774,9,13,0,2,0,0,8,3,2,3,Generated
7,2023-06-15,Criciúma,Fluminense,2,0,15,17,4,4,11,13,45.23965094673599,54.76034905326401,502,393,76.06571781698565,88.65109756838623,14,11,4,1,0,1,3,5,2,1,Generated
7,2023-06-15,Internacional,Atlético-GO,0,1,17,17,6,7,11,10,39.25522545507392,60.74477454492608,560,450,87.7236354425869,88.6860822833498,18,13,3,2,0,0,7,3,1,4,Generated
7,2023-06-15,Botafogo,Flamengo,3,1,17,18,6,3,11,15,67.54119133892522,32.458808661074784,457,461,80.92917083456248,78.34386837129153,8,11,1,1,0,0,3,7,0,2,Generated
7,2023-06-15,Cuiabá,Cruzeiro,1,0,16,10,3,2,13,8,40.85968010170845,59.14031989829155,514,403,78.52242475904461,86.6472707932199,15,9,1,2,0,0,4,6,1,2,Generated
7,2023-06-15,Grêmio,EC Vitória,2,1,13,11,5,3,8,8,56.895353731668145,43.104646268331855,503,421,73.12633941417722,84.75901894795184,10,9,4,3,0,0,5,5,1,3,Generated
7,2023-06-15,Fortaleza,Juventude,1,0,20,14,7,4,13,10,54.12600480491788,45.87399519508212,492,396,85.37162661826405,74.52544860006373,14,13,1,0,0,0,3,3,0,1,Generated
7,2023-06-15,Atlético-PR,Atlético-MG,1,1,26,21,8,8,18,13,52.55678267022495,47.44321732977505,480,445,76.81917142871117,88.34536133155362,11,14,5,2,0,0,3,5,0,3,Generated
8,2023-06-22,Vasco da Gama,Internacional,1,0,18,12,3,3,15,9,51.61197627045999,48.38802372954001,484,443,77.5995815793079,82.14270561767154,11,6,0,2,0,0,8,3,5,1,Generated
8,2023-06-22,Corinthians,EC Vitória,2,0,10,13,2,4,8,9,33.44128628131773,66.55871371868227,434,405,74.67481584073488,82.75548283691182,16,12,1,5,0,0,5,4,3,2,Generated
8,2023-06-22,Flamengo,Atlético-MG,2,1,13,14,4,5,9,9,34.60584713580805,65.39415286419195,593,473,78.84066841862247,82.96466937615692,19,20,3,1,0,0,3,6,3,1,Generated
8,2023-06-22,Criciúma,Bragantino,0,3,9,14,4,5,5,9,61.338782401970704,38.661217598029296,451,464,84.44132128407571,70.80571037555997,11,14,2,1,0,0,4,5,4,5,Generated
8,2023-06-22,Cuiabá,Fortaleza,1,1,11,14,2,3,9,11,50.93605483688033,49.06394516311967,461,365,73.2673351679684,73.68918102119767,9,12,2,1,0,0,5,2,1,3,Generated
8,2023-06-22,Juventude,Atlético-GO,0,1,10,13,3,5,7,8,30.167497745118315,69.83250225488169,491,395,78.30886001184179,70.48010089689778,10,13,1,1,0,0,5,7,2,3,Generated
8,2023-06-22,Palmeiras,São Paulo,2,1,17,14,6,4,11,10,69.86105235194476,30.138947648055236,530,473,73.17473526748618,88.98546212491235,10,12,2,1,0,0,2,8,1,1,Generated
8,2023-06-22,Grêmio,Fluminense,1,1,18,9,4,4,14,5,33.65687967268553,66.34312032731447,488,395,87.9314931693802,73.92588604622134,13,11,2,1,0,0,5,3,2,4,Generated
8,2023-06-22,Bahia,Atlético-PR,2,4,21,10,7,2,14,8,35.525011725609886,64.47498827439011,507,410,85.16080842022433,85.20011089924196,10,10,4,3,0,0,5,7,2,0,Generated
8,2023-06-22,Cruzeiro,Botafogo,1,2,19,14,7,3,12,11,50.02317269723325,49.97682730276675,489,373,86.04792061107266,87.22836092191035,10,19,1,3,0,0,4,5,5,4,Generated
9,2023-07-01,Flamengo,EC Vitória,2,3,16,11,4,2,12,9,30.428611907814357,69.57138809218564,563,392,76.88183235698884,80.41087674609717,11,12,2,0,0,0,6,7,2,1,Generated
9,2023-07-01,Palmeiras,Bragantino,3,0,26,7,7,1,19,6,43.9532762983452,56.0467237016548,551,413,70.71180461612953,89.8866060537143,9,8,2,3,0,0,10,2,1,3,Generated
9,2023-07-01,Atlético-MG,Vasco da Gama,1,0,19,12,5,3,14,9,65.03619699999578,34.96380300000422,597,390,89.0680575876419,71.20453889800595,10,10,1,1,0,1,6,2,5,1,Generated
9,2023-07-01,Atlético-PR,Atlético-GO,1,1,13,14,3,3,10,11,51.88181382462311,48.11818617537689,444,395,75.47976198939944,89.1129893453298,20,4,2,1,1,0,3,7,2,3,Generated
9,2023-07-01,Botafogo,Grêmio,1,2,20,12,9,5,11,7,37.20634590930477,62.79365409069523,448,391,70.50697208527878,83.80093776818899,10,13,1,1,0,1,4,7,2,2,Generated
9,2023-07-01,Corinthians,Internacional,2,1,12,22,4,5,8,17,43.685304004475796,56.314695995524204,538,479,88.19096946024277,81.37910966563702,10,16,6,0,0,0,6,4,4,3,Generated
9,2023-07-01,Cruzeiro,Fortaleza,0,0,12,17,2,7,10,10,36.125780003358244,63.874219996641756,495,414,89.5082073536949,81.4712656005342,10,7,3,3,0,0,4,3,3,5,Generated
9,2023-07-01,Juventude,Fluminense,0,0,16,14,7,4,9,10,45.189496192865946,54.810503807134054,487,416,73.84046738272689,83.33371303785026,13,12,2,2,0,0,7,3,1,3,Generated
9,2023-07-01,São Paulo,Cuiabá,1,1,11,17,5,3,6,14,37.798330859945224,62.201669140054776,560,360,72.38420885681147,70.72922101651237,7,11,1,0,0,0,3,8,3,1,Generated
9,2023-07-01,Criciúma,Bahia,3,0,14,13,3,5,11,8,33.98318854160116,66.01681145839885,472,365,88.65133417411921,81.5133050599484,7,15,4,1,1,0,4,3,2,0,Generated
10,2023-07-08,Vasco da Gama,Internacional,1,0,9,22,2,7,7,15,63.182633257134746,36.817366742865254,452,491,88.76362345049445,75.51133552618357,10,9,1,1,0,1,8,6,0,2,Generated
10,2023-07-08,Atlético-GO,Fortaleza,0,2,17,12,4,5,13,7,46.42926173964048,53.57073826035952,480,411,70.76801754652689,77.36500214790266,12,14,4,2,0,0,4,5,2,1,Generated
10,2023-07-08,EC Vitória,Juventude,1,0,15,18,5,4,10,14,58.38685374018098,41.61314625981902,446,387,70.78723759639459,70.43693423972404,15,12,1,1,0,0,8,6,1,2,Generated
10,2023-07-08,Fluminense,Bahia,0,1,12,7,5,1,7,6,68.66233757522176,31.337662424778244,527,404,70.12367645281793,86.21367140675184,19,12,1,4,0,0,6,7,2,3,Generated
10,2023-07-08,São Paulo,Cuiabá,1,0,19,22,7,9,12,13,64.53726311157538,35.462736888424615,531,426,84.36028356254003,77.44087135624414,6,11,3,3,0,0,4,5,2,3,Generated
10,2023-07-08,Bragantino,Grêmio,1,1,17,12,6,5,11,7,35.35112579975872,64.64887420024128,532,381,82.40469697922241,80.89602170552197,7,9,2,3,0,0,2,7,1,1,Generated
10,2023-07-08,Atlético-MG,Flamengo,2,2,21,22,6,6,15,16,60.07192654347732,39.92807345652268,565,478,81.58626805576921,87.78001221629331,13,12,1,1,0,0,6,8,1,1,Generated
10,2023-07-08,Corinthians,Atlético-PR,1,2,10,17,2,5,8,12,48.6904398403001,51.3095601596999,448,426,82.52109417961603,71.50557433303348,7,9,1,4,0,0,6,9,4,3,Generated
10,2023-07-08,Botafogo,Criciúma,3,1,15,14,5,6,10,8,58.61289242116543,41.38710757883457,465,373,70.79594254671305,81.95364671046919,11,6,2,3,0,0,6,4,1,0,Generated
10,2023-07-08,Palmeiras,Cruzeiro,0,0,19,11,5,3,14,8,53.85385989987104,46.14614010012896,544,414,81.61511998111318,84.83368257983646,14,10,0,4,0,0,7,4,1,1,Generated
11,2023-07-15,Internacional,Grêmio,2,2,13,9,5,2,8,7,57.337176606290825,42.662823393709175,566,389,78.10943352660837,89.68178927933029,10,10,2,1,0,1,6,2,2,0,Generated
11,2023-07-15,Fortaleza,Atlético-GO,0,0,22,11,6,4,16,7,51.49102694672152,48.50897305327848,491,407,70.78012841525636,79.11133563980218,17,8,4,1,0,1,7,4,3,1,Generated
11,2023-07-15,Palmeiras,Juventude,0,1,20,13,7,6,13,7,30.676511996864292,69.32348800313571,598,382,83.25719575269332,89.30897269201242,18,15,3,0,0,0,5,4,0,0,Generated
11,2023-07-15,EC Vitória,Atlético-MG,2,2,14,8,4,3,10,5,51.3919786512477,48.6080213487523,502,501,87.73190883004797,78.2188510470022,13,11,0,0,0,0,4,6,0,3,Generated
11,2023-07-15,Vasco da Gama,Flamengo,2,2,12,20,2,9,10,11,40.33201716510369,59.66798283489631,508,477,74.08512935872793,82.53605260129687,12,15,3,1,1,1,4,5,4,3,Generated
11,2023-07-15,Bahia,São Paulo,0,1,18,18,7,8,11,10,65.69876375808047,34.301236241919526,442,473,83.69450327762009,74.24162474954755,9,11,0,3,0,0,5,8,3,3,Generated
11,2023-07-15,Cruzeiro,Atlético-PR,2,0,16,14,3,3,13,11,68.41467098488522,31.58532901511478,427,438,86.45314936960855,70.26562406917161,12,12,3,1,0,0,4,8,2,3,Generated
11,2023-07-15,Cuiabá,Botafogo,1,1,17,16,4,3,13,13,55.56807317559839,44.43192682440161,462,426,87.33191377191007,81.87150508828596,7,8,1,5,0,0,7,5,2,1,Generated
11,2023-07-15,Criciúma,Bragantino,1,1,14,10,6,4,8,6,60.38080594867776,39.61919405132224,460,417,81.274742028908,74.09958465651822,15,16,3,1,0,0,4,8,0,0,Generated
11,2023-07-15,Corinthians,Fluminense,2,0,13,15,5,3,8,12,33.09934506221931,66.9006549377807,474,408,79.32749189009097,77.23332166390085,15,12,4,0,0,0,5,4,1,1,Generated
12,2023-07-22,Fluminense,Cruzeiro,2,1,11,13,4,3,7,10,34.65326908533045,65.34673091466955,549,419,75.94428227690192,72.71253232014627,8,13,2,2,0,0,5,3,0,2,Generated
12,2023-07-22,Atlético-MG,EC Vitória,1,0,14,7,4,2,10,5,34.854876981944784,65.14512301805522,552,432,73.4899697279591,77.57406711162318,16,6,3,2,0,0,1,6,1,4,Generated
12,2023-07-22,Flamengo,Palmeiras,2,2,15,20,3,5,12,15,63.07471388693448,36.92528611306552,564,494,81.37625472867745,87.35446305610185,11,11,3,0,0,0,7,6,4,3,Generated
12,2023-07-22,Criciúma,Atlético-PR,2,0,16,9,6,4,10,5,36.72946316433968,63.27053683566032,458,387,82.90475289106664,83.01943490437088,16,6,3,1,0,1,5,5,3,3,Generated
12,2023-07-22,Grêmio,São Paulo,4,1,17,18,4,8,13,10,52.59810430609893,47.40189569390107,444,497,89.81285474344358,75.55782251975512,12,11,2,1,0,0,4,7,2,1,Generated
12,2023-07-22,Juventude,Fortaleza,1,3,16,13,6,4,10,9,34.58967833352767,65.41032166647233,451,386,84.45678407800425,70.6497319338033,13,11,2,1,0,0,5,9,0,1,Generated
12,2023-07-22,Corinthians,Bahia,1,0,14,15,6,4,8,11,41.95704600393333,58.04295399606667,474,457,77.4367356913284,70.51677944440023,9,8,1,0,0,0,8,5,2,1,Generated
12,2023-07-22,Atlético-GO,Botafogo,4,0,12,18,2,8,10,10,54.278924650970616,45.721075349029384,458,459,79.89651903201093,71.72232221012747,13,8,2,0,0,0,4,3,3,2,Generated
12,2023-07-22,Vasco da Gama,Cuiabá,0,2,14,15,4,6,10,9,56.76616622139403,43.23383377860597,474,354,85.81027215067296,79.07917666095719,10,16,1,2,0,0,4,6,0,2,Generated
12,2023-07-22,Bragantino,Internacional,0,1,16,11,4,4,12,7,57.715137107866084,42.284862892133916,483,474,83.31530480530735,80.49344613371244,13,17,0,3,0,0,7,3,1,2,Generated
13,2023-08-01,Flamengo,Bragantino,4,0,16,10,5,2,11,8,35.2683814082542,64.7316185917458,589,385,80.55159244850701,83.10871956881323,9,10,0,1,0,0,9,8,1,3,Generated
13,2023-08-01,EC Vitória,Juventude,1,0,19,16,4,7,15,9,53.8425572440238,46.1574427559762,445,368,86.145232986525,79.1926550871292,10,19,0,5,1,0,3,6,1,5,Generated
13,2023-08-01,Criciúma,Grêmio,1,1,18,11,4,5,14,6,50.125342189932795,49.874657810067205,468,419,81.01090601239991,86.51776452853629,10,10,2,0,0,0,3,6,0,2,Generated
13,2023-08-01,Fortaleza,Atlético-GO,3,2,20,9,9,4,11,5,46.20004394350194,53.79995605649806,521,401,88.0822732095901,73.13058426831482,11,18,0,0,1,0,3,4,3,0,Generated
13,2023-08-01,Cruzeiro,Bahia,0,1,14,12,3,5,11,7,54.80005333909634,45.19994666090366,470,396,73.8221124538229,85.37528361442321,9,9,3,1,0,0,6,3,0,2,Generated
13,2023-08-01,São Paulo,Palmeiras,4,0,16,14,6,6,10,8,54.61391362514297,45.38608637485703,554,430,81.31777210203518,82.31105246386358,14,13,0,1,1,0,6,5,3,3,Generated
13,2023-08-01,Cuiabá,Botafogo,1,2,14,12,3,3,11,9,54.0674643448186,45.9325356551814,436,403,84.97344350501982,86.55849909090625,15,8,4,1,0,1,5,3,3,1,Generated
13,2023-08-01,Atlético-PR,Fluminense,1,0,11,17,4,4,7,13,33.14144971171195,66.85855028828806,471,403,89.19184295218469,85.85324953503235,13,11,2,3,0,0,7,1,4,1,Generated
13,2023-08-01,Vasco da Gama,Internacional,5,0,17,15,4,3,13,12,37.31691703848339,62.68308296151661,471,488,80.07383522474889,73.65250260506203,13,13,2,2,0,0,2,6,2,2,Generated
13,2023-08-01,Corinthians,Atlético-MG,0,0,21,14,7,4,14,10,50.684717234276775,49.315282765723225,515,438,81.43795044917907,88.14926352692851,7,17,1,1,1,0,7,7,3,4,Generated
14,2023-08-08,EC Vitória,Internacional,2,3,20,12,6,3,14,9,49.320564513758015,50.679435486241985,511,497,79.52113404302123,89.83372280785471,15,12,3,3,0,0,5,6,2,2,Generated
14,2023-08-08,Atlético-GO,Bahia,1,0,17,10,3,4,14,6,42.09106801985794,57.90893198014206,507,444,70.18620581524708,78.84787481496387,10,13,4,2,0,0,7,1,2,1,Generated
14,2023-08-08,Bragantino,Juventude,0,0,14,11,6,2,8,9,68.55664048292753,31.443359517072466,489,396,76.02912372821336,71.89112689548776,15,13,1,1,0,0,4,4,2,1,Generated
14,2023-08-08,Atlético-MG,Fluminense,4,2,17,14,6,4,11,10,67.95664872754861,32.04335127245139,541,399,71.3602046390484,73.87578260046709,9,8,3,1,0,0,7,5,2,4,Generated
14,2023-08-08,São Paulo,Palmeiras,3,2,25,17,9,5,16,12,54.16695752690367,45.83304247309633,528,482,81.77620540312446,71.78444336114477,11,14,0,2,0,0,4,5,2,2,Generated
14,2023-08-08,Fortaleza,Atlético-PR,1,2,13,7,4,2,9,5,37.84937126751422,62.15062873248578,492,395,77.35417016255086,72.0123995444518,10,14,1,1,0,0,3,2,2,2,Generated
14,2023-08-08,Corinthians,Cruzeiro,1,3,12,12,4,5,8,7,66.55258090499777,33.44741909500223,472,393,83.01576641693804,82.28337700637786,10,12,2,2,0,0,7,4,0,2,Generated
14,2023-08-08,Grêmio,Vasco da Gama,0,0,14,14,6,4,8,10,41.40977369227066,58.59022630772934,462,358,80.11618445184659,81.20697348700647,14,13,2,0,0,0,7,3,0,3,Generated
